external_id,title,mark_and_model,first_registration_date,mileage,gearbox,fuel,engine_size,power,emission_class,co2_value,country_of_origin
4881094,"PEUGEOT 508 SW 1.5 BLUEHDI 130 S&S AUTO ACTIVE PACK","Peugeot 508",11/2022,60703,Automatic,Diesel,1499,130,C,1232,Belgium
4881095,"PEUGEOT BOXER 335 FOURGON MWB HR DSL - 2.0 BlueHDi L2H2 Premium S&S","Peugeot Boxer",11/2017,150858,Manual,Diesel,1997,130,N/A,1592,Belgium
4881096,"POLESTAR 2 78KWH AUTO 4WD PILOT PLUS Performance","Polestar Other",03/2021,49320,Automatic,Electric,0,408,A,0,Belgium
4881097,"RENAULT CAPTUR 1.0 TCE 90 GPF ZEN","Renault Captur",06/2021,32274,Manual,Petrol,999,91,B,1212,Belgium
4881098,"RENAULT Clio 0.9 TCe Zen (EU6c)","Renault Clio",04/2019,45346,Manual,Petrol,898,90,Euro6,1342,Belgium
4881099,"RENAULT CLIO GRANDTOUR IV Phase II DIE 1.5 dCi Cool & Sound 2  Easy Lift","Renault Clio",07/2019,109790,Manual,Diesel,1461,90,Euro6,1042,Belgium
4881100,"RENAULT GRAND SCENIC DIESEL - 2017 1.5 dCi Energy Intens","Renault Grand Scenic",09/2017,172448,Manual,Diesel,1461,110,Euro6,1042,Belgium
4881101,"RENAULT KADJAR DIESEL - 2019 1.5 Blue dCi Corporate Ed. EDC (Fleet)","Renault Kadjar",06/2020,79700,Automatic,Diesel,1461,116,N/A,1112,Belgium
4881102,"RENAULT KANGOO EXPRESS DSL - 2013 1.5 dCi Confort","Renault Kangoo",08/2015,77004,Manual,Diesel,1461,75,Euro5,1192,Belgium
4881103,"RENAULT KANGOO EXPRESS DSL - 2013 1.5 dCi Energy Grand Confort Securite","Renault Kangoo",01/2019,127791,Manual,Diesel,1461,90,Euro6,1122,Belgium
4881104,"RENAULT KANGOO EXPRESS MAXI DSL - 2013 1.5 dCi Confort","Renault Kangoo",07/2015,93984,Manual,Diesel,1461,90,Euro5,1302,Belgium
4881105,"RENAULT MASTER 35 FOU MWB MHR DSL - 20 2.3 dCi 35 L2H2 En.Tw.Turbo Gd Conf.Qui.","Renault Master",10/2018,96423,Automatic,Diesel,2298,170,Euro6,1872,Belgium
4881106,"RENAULT MASTER 35 FOU MWB MHR DSL - 20 2.3 dCi 35 L2H2 En.Tw.Turbo Gd Conf.Qui.","Renault Master",10/2018,146025,Automatic,Diesel,2298,170,Euro6,1872,Belgium
4881107,"RENAULT MEGANE BERLINE - 2016 1.33 TCe Intens GPF Night","Renault Megane",03/2020,83136,Manual,Petrol,1332,116,Euro6,1202,Belgium
4881108,"RENAULT TALISMAN DIESEL 1.6 dCi Energy Intens City 2","Renault Talisman",11/2017,155505,Manual,Diesel,1598,131,Euro6,1022,Belgium
4881109,"SEAT Ibiza 1.0 TSI 70KW S-S MOVE","Seat Ibiza",11/2020,81269,Manual,Petrol,999,95,Euro6,1042,Belgium
4881110,"SEAT Ibiza 1.6 TDI 70KW MOVE Reference","Seat Ibiza",09/2019,104454,Manual,Diesel,1598,95,Euro6,1002,Belgium
4881111,"SKODA KODIAQ DIESEL 2.0 CR TDi Style DSG GPS","Skoda Kodiaq",09/2018,105908,Automatic,Diesel,1968,150,Euro6,1632,Belgium
4881112,"SKODA Octavia 1.6 CR TDi Ambition DSG (EU6.2) Ambition Look Safety GPS - PROMO","Skoda Octavia",11/2018,126767,Automatic,Diesel,1598,115,Euro6,1382,Belgium
4881113,"SKODA Octavia 1.6 CR TDi GreenLine Ambition Comfort Look GPS Safety","Skoda Octavia",03/2017,109844,Manual,Diesel,1598,110,Euro6,902,Belgium
4881114,"TESLA MODEL 3 75 KWH LONG RANGE DUAL MOTOR 4WD AUTO","Tesla Model 3",03/2021,187159,Automatic,Electric,0,476,A,0,Belgium
4881115,"TESLA MODEL 3 75 KWH PERFORMANCE DUAL MOTOR 4WD AUTO Full self driving capacity","Tesla Model 3",08/2020,31774,Automatic,Electric,0,215,N/A,0,Belgium
4881116,"TOYOTA COROLLA 1.8 HYBRID DYNAMIC E-CVT","Toyota Corolla",09/2021,50350,Automatic,"Hybrid (petrol / electric)",1798,98,Euro6,782,Belgium
4881117,"TOYOTA COROLLA 1.8 HYBRID DYNAMIC E-CVT","Toyota Corolla",08/2021,64855,Automatic,"Hybrid (petrol / electric)",1798,98,Euro6,782,Belgium
4881118,"TOYOTA GRAND PRIUS+ - 2015 1.8i VVT-i Hybrid Dynamic Plus (EU6.2)","Toyota Prius+",01/2020,97775,Automatic,"Hybrid (petrol / electric)",1798,99,Euro6,1322,Belgium
4881119,"VOLKSWAGEN ARTEON DIESEL 2.0 TDi SCR R-Line / Premium / Travel /Drive","Volkswagen Arteon",05/2019,107892,Manual,Diesel,1968,150,Euro6,1432,Belgium
4881120,"VOLKSWAGEN GOLF VII - 2017 1.5 TSI ACT BM IQ.Drive OPF (EU6.2) Business","Volkswagen Golf",05/2020,75150,Manual,Petrol,1498,130,Euro6,1152,Belgium
4881121,"VOLKSWAGEN PASSAT DIESEL - 2015 2.0 CR TDi Highline Business R-Line Exterior","Volkswagen Passat",08/2018,194101,Manual,Diesel,1968,150,Euro6,1082,Belgium
4881122,"VOLKSWAGEN PASSAT VARIANT DIESEL - 2015 1.6 TDi Highline Business DSG","Volkswagen Passat Variant",05/2019,155314,Automatic,Diesel,1598,120,Euro6,1492,Belgium
4881123,"VOLKSWAGEN Polo 1.6 TDI 70KW COMFORTLINE Comfort Travel","Volkswagen Polo",10/2020,94186,Manual,Diesel,1598,95,Euro6,972,Belgium
4881124,"VOLKSWAGEN TRANSPORTER 1000 FOU LWB DSL - 2.0 TDi SCR BMT","Volkswagen T5 Transporter",03/2018,237841,Manual,Diesel,1968,150,Euro6,1642,Belgium
